arabic_title,code,english_title
الإمارات  العربية,101,Arab Emirates
الاردن,102,Jordan
البحرين,103,Bahrain
سوريا,104,Syria
العراق,105,Iraq
عمان,106,Oman
فلسطين,107,Palestine
قطر,108,Country
الكويت,109,Kuwait
لبنان,110,Lebanon
اليمن,111,Yemen
اليمن الجنوبي,112,Southern Yemen
المملكة العربية السعودية,113,Saudi Arabia
يمني جنوبي-السلاطين,114,Yemeni the sultans
بني حارث,115,Bani Harith
الكويت  -بدون,116,Kuwait - without
افراد القبائل,117,Member of the tribes
من سكان البحرين,118,Residents of Bahrain
قبائل مجاورة للعطفين,119,Tribes adj to Ataf
اجنبي بجواز سعودي,120,Alien  KSA Passprt
فلسطيني بوثيقة مصرية,121,Palestinian Egyptian
فلسطيني بوثيقةلبناني,122,Palestinian Lebanese
فلسطيني بوثيقةاردنية,123,Palestinian Jordan
فلسطيني بوثيقةعراقية,124,Palestinian Iraqi
فلسطيني بوثيقة سورية,125,Palestinian Syria
وثيقة قطريه,126,document Syria
وثيقة عمانيه,127,The document Omani
وثيقة اماراتيه,128,The document EMIRIAN
وثيقة بحرينيه,129,Document Industry
عرب ثمانية وأربعون,130,Arabs 48
قبائل نازحة/الحليفه,131,Tribe/AlHal
اليمن - لحج,132,Yemen - pilgrimage
قبائل نازحة/الكويت,133,Tribes  / Kuwait
غير كويتي,134,Unknown
غير بحريني,135,Unknown
غير قطري,136,Unknown
غير اماراتي,137,Unknown
غير عماني,138,Unknown
مقيم/نازح,139,Resident/Displaced
مقيم/مولود,140,Resident/New Born
مقيم/طالب جنسية,141,Resident/Citizenship Request
مقيم/أفراد القبائل,142,Resident/Tribes
مقيم/غير معروف,143,Resident/Unknown
مقيم/لا يحمل وثيقة,144,Holding a Document
قبيلة الصيعر,145,ALSAYAR
المناهيل والمهرة,146,ALMNAHIL AND ALMAHRH
تونس,201,Tunisia
الجزائر,202,Algeria
جيبوتى,203,Djibouti
السودان,204,Sudan
الصومال,205,Somalia
ليبيا,206,Libya
مصر,207,Egypt
المغرب,208,Morocco
موريتانيا,209,Mauritania
افغانستان,301,Afghanistan
اندونيسيا,302,Indonesia
ايران,303,Iran
باكستان,304,Pakistan
بنجلاديش,305,Bangladesh
بروني,306,Brunei
جمهورية ميانمار,307,Myanmar
تايلند,308,Thailand
تركيا,309,Turkey
جزر ملاديف,310,Maldives
روسيا الاتحادية,311,Russia
سنغافورة,312,Singapore
سري لنكا,313,Sri Lanka
تايوان الصين,314,Taiwan China
الفلبين,315,Philippines
فيتنام,316,Vietnam
كمبوديا,317,Cambodia
كوريا الجنوبية,318,South Korea
ماليزيا,319,Malaysia
نيبال,320,Nepal
الهند,321,India
هونج كونج الصين,322,HONG KONG CHINA
اليابان,323,Japan
بهوتان,324,Bhutan
الصين الشعبية,325,China
قبرص,326,Cyprus
كوريا الشمالية,328,North Korea
